SE_NM,SGG_NM,SPOT_NM,STA_NM,GRDNT_VAL,SLANT_GRD_CD
갯벌,서천군,선도리,선도리갯벌,20,B
갯바위,삼척시,갈남리,갈남해수욕장,20.01,B
방파제,울산시,방어진항,방어진항방파제,20.01,B
갯바위,부산시,이기대,이기대갯바위,20.03,B
방파제,울산시,방어진항,방어진항방파제,20.04,B
해수욕장,포항시,오도1리,오도리 해수욕장,20.06,B
갯바위,부산시,이기대,이기대갯바위,20.06,B
방파제,울산시,방어진항,방어진항방파제,20.07,B
갯바위,삼척시,갈남리,갈남해수욕장,20.08,B
갯바위,부안군,격포리,채석강,20.08,B
갯벌,태안군,방포항,할미할아비바위,20.09,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.09,B
갯바위,삼척시,갈남리,갈남해수욕장,20.1,B
갯벌,서천군,선도리,선도리갯벌,20.1,B
갯벌,서천군,선도리,선도리갯벌,20.1,B
갯바위,삼척시,갈남리,갈남해수욕장,20.11,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.12,B
갯벌,서천군,선도리,선도리갯벌,20.12,B
갯벌,태안군,방포항,할미할아비바위,20.13,B
방파제,울산시,방어진항,방어진항방파제,20.13,B
갯바위,삼척시,갈남리,갈남해수욕장,20.14,B
갯벌,태안군,방포항,할미할아비바위,20.14,B
방파제,울산시,방어진항,방어진항방파제,20.14,B
갯벌,서천군,선도리,선도리갯벌,20.14,B
갯벌,서천군,선도리,선도리갯벌,20.15,B
갯바위,부산시,이기대,이기대갯바위,20.17,B
갯벌,태안군,방포항,할미할아비바위,20.17,B
갯벌,태안군,방포항,할미할아비바위,20.2,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.2,B
갯벌,태안군,방포항,할미할아비바위,20.22,B
갯벌,서천군,선도리,선도리갯벌,20.22,B
갯바위,삼척시,갈남리,갈남해수욕장,20.23,B
해수욕장,포항시,오도1리,오도리 해수욕장,20.24,B
갯바위,삼척시,갈남리,갈남해수욕장,20.25,B
갯바위,부산시,이기대,이기대갯바위,20.27,B
갯바위,부산시,이기대,이기대갯바위,20.28,B
갯바위,부산시,이기대,이기대갯바위,20.28,B
방파제,영덕군,축산항,축산방파제,20.28,B
갯벌,태안군,방포항,할미할아비바위,20.29,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.29,B
갯바위,부산시,이기대,이기대갯바위,20.3,B
갯벌,태안군,방포항,할미할아비바위,20.3,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.31,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.31,B
갯벌,태안군,방포항,할미할아비바위,20.32,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.32,B
갯벌,화성시,제부도,매바위,20.33,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.33,B
갯벌,서천군,선도리,선도리갯벌,20.33,B
갯벌,서천군,선도리,선도리갯벌,20.33,B
방파제,영덕군,축산항,축산방파제,20.33,B
갯바위,삼척시,갈남리,갈남해수욕장,20.34,B
해수욕장,포항시,오도1리,오도리 해수욕장,20.34,B
방파제,울산시,방어진항,방어진항방파제,20.34,B
갯바위,삼척시,갈남리,갈남해수욕장,20.36,B
갯바위,부산시,이기대,이기대갯바위,20.36,B
방파제,울산시,방어진항,방어진항방파제,20.38,B
갯벌,서천군,선도리,선도리갯벌,20.38,B
갯바위,부산시,대변항,대변항 북측 갯바위,20.39,B
갯바위,부산시,이기대,이기대갯바위,20.4,B
방파제,울산시,방어진항,방어진항방파제,20.4,B
갯바위,삼척시,갈남리,갈남해수욕장,20.41,B
갯벌,태안군,방포항,할미할아비바위,20.41,B
방파제,울산시,방어진항,방어진항방파제,20.41,B
갯벌,태안군,방포항,할미할아비바위,20.42,B
갯바위,삼척시,갈남리,갈남해수욕장,20.43,B
갯바위,부산시,이기대,이기대갯바위,20.43,B
갯벌,태안군,방포항,할미할아비바위,20.43,B
갯벌,태안군,방포항,할미할아비바위,20.43,B
갯바위,삼척시,갈남리,갈남해수욕장,20.44,B
갯바위,삼척시,갈남리,갈남해수욕장,20.44,B
갯바위,부산시,이기대,이기대갯바위,20.44,B
갯바위,부산시,이기대,이기대갯바위,20.44,B
갯벌,태안군,방포항,할미할아비바위,20.44,B
방파제,울산시,방어진항,방어진항방파제,20.46,B
방파제,울산시,방어진항,방어진항방파제,20.46,B
갯바위,부안군,격포리,채석강,20.46,B
갯바위,삼척시,갈남리,갈남해수욕장,20.47,B
해수욕장,포항시,오도1리,오도리 해수욕장,20.47,B
갯바위,부산시,이기대,이기대갯바위,20.47,B
해수욕장,포항시,오도1리,오도리 해수욕장,20.48,B
갯벌,서천군,선도리,선도리갯벌,20.48,B
방파제,영덕군,축산항,축산방파제,20.48,B
갯바위,삼척시,갈남리,갈남해수욕장,20.49,B
갯벌,태안군,방포항,할미할아비바위,20.52,B
