PLACE_NM,PLACE_SE_NM,ACC_CQT_SUM,Y2017_ACC_CQT_SUM,Y2018_ACC_CQT_SUM,Y2019_ACC_CQT_SUM,Y2020_ACC_CQT_SUM
강원도 동해,갯바위,3,0,0,0,0
강원도 동해,갯벌,0,0,0,0,0
강원도 동해,무인도서,0,0,0,0,0
강원도 동해,방파제,1,0,0,0,0
강원도 동해,테트라포드,10,0,0,0,0
강원도 동해,항포구,3,0,0,0,0
강원도 동해,해수욕장,1,0,0,0,0
강원도 동해,해양,3,0,0,0,0
강원도 동해,해안가,8,0,0,0,0
강원도 속초,갯바위,2,0,0,0,0
강원도 속초,갯벌,0,0,0,0,0
강원도 속초,무인도서,0,0,0,0,0
강원도 속초,방파제,1,0,0,0,0
강원도 속초,테트라포드,7,0,0,0,0
강원도 속초,항포구,4,0,0,0,0
강원도 속초,해수욕장,3,0,0,0,0
강원도 속초,해양,17,0,0,0,0
강원도 속초,해안가,2,0,0,0,0
경기도 평택,갯바위,6,0,0,0,0
경기도 평택,갯벌,4,0,0,0,0
경기도 평택,무인도서,0,0,0,0,0
경기도 평택,방파제,1,0,0,0,0
경기도 평택,테트라포드,0,0,0,0,0
경기도 평택,항포구,4,0,0,0,0
경기도 평택,해수욕장,2,0,0,0,0
경기도 평택,해양,2,0,0,0,0
경기도 평택,해안가,4,0,0,0,0
전라남도 여수,갯바위,4,0,0,0,0
전라남도 여수,갯벌,2,0,0,0,0
전라남도 여수,무인도서,1,0,0,0,0
전라남도 여수,방파제,2,0,0,0,0
전라남도 여수,테트라포드,0,0,0,0,0
전라남도 여수,항포구,17,0,0,0,0
전라남도 여수,해수욕장,0,0,0,0,0
전라남도 여수,해양,1,0,0,0,0
전라남도 여수,해안가,7,0,0,0,0
경상남도 창원,갯바위,4,0,0,0,0
경상남도 창원,갯벌,0,0,0,0,0
경상남도 창원,무인도서,0,0,0,0,0
경상남도 창원,방파제,3,0,0,0,0
경상남도 창원,테트라포드,0,0,0,0,0
경상남도 창원,항포구,6,0,0,0,0
경상남도 창원,해수욕장,0,0,0,0,0
경상남도 창원,해양,4,0,0,0,0
경상남도 창원,해안가,2,0,0,0,0
경상남도 통영,갯바위,4,0,0,0,0
경상남도 통영,갯벌,0,0,0,0,0
경상남도 통영,무인도서,0,0,0,0,0
경상남도 통영,방파제,2,0,0,0,0
경상남도 통영,테트라포드,2,0,0,0,0
경상남도 통영,항포구,10,0,0,0,0
경상남도 통영,해수욕장,1,0,0,0,0
경상남도 통영,해양,3,0,0,0,0
경상남도 통영,해안가,12,0,0,0,0
경상북도 동해,갯바위,0,0,0,0,0
